TICKET_NMBR,PRIORITY,BUSINESS_COMPLETION_HRS,EXTERNAL_SYSTEM,label,1,2,3,4,5,6,7,8,9,10,11,12
IN10035636,Low,617.17,3)CREATEDFROMINCIDENT,3,0,0,1,0,0,0,0,0,0,0,0,0
IN10038681,Low,509.41,3)CREATEDFROMINCIDENT,3,0,0,1,0,0,0,0,0,0,0,0,0
IN10091296,Medium,501.1,3)CREATEDFROMINCIDENT,3,0,0,1,0,0,0,0,0,0,0,0,0
IN10035910,Low,491.5,3)CREATEDFROMINCIDENT,3,0,0,1,0,0,0,0,0,0,0,0,0
IN10028818,Low,460.55,3)CREATEDFROMINCIDENT,3,0,0,1,0,0,0,0,0,0,0,0,0
IN10034408,Low,432.97,3)CREATEDFROMINCIDENT,3,0,0,1,0,0,0,0,0,0,0,0,0
IN10065870,Low,424.17,3)CREATEDFROMINCIDENT,3,0,0,1,0,0,0,0,0,0,0,0,0
IN10077839,Low,419.52,3)CREATEDFROMINCIDENT,3,0,0,1,0,0,0,0,0,0,0,0,0
IN10054792,Low,346.23,3)CREATEDFROMINCIDENT,3,0,0,1,0,0,0,0,0,0,0,0,0
IN10038061,Low,320.22,3)CREATEDFROMINCIDENT,3,0,0,1,0,0,0,0,0,0,0,0,0
IN10034490,Low,286.32,3)CREATEDFROMINCIDENT,3,0,0,1,0,0,0,0,0,0,0,0,0
IN10034486,Medium,285.93,3)CREATEDFROMINCIDENT,3,0,0,1,0,0,0,0,0,0,0,0,0
IN10053116,Low,285.71,3)CREATEDFROMINCIDENT,3,0,0,1,0,0,0,0,0,0,0,0,0
IN10035866,Medium,268.38,3)CREATEDFROMINCIDENT,3,0,0,1,0,0,0,0,0,0,0,0,0
IN10039267,Low,266.4,3)CREATEDFROMINCIDENT,3,0,0,1,0,0,0,0,0,0,0,0,0
IN10044513,Low,231.67,3)CREATEDFROMINCIDENT,3,0,0,1,0,0,0,0,0,0,0,0,0
IN10034485,Low,229.75,3)CREATEDFROMINCIDENT,3,0,0,1,0,0,0,0,0,0,0,0,0
IN10043986,Medium,221.57,3)CREATEDFROMINCIDENT,3,0,0,1,0,0,0,0,0,0,0,0,0
IN10034488,Low,210,3)CREATEDFROMINCIDENT,3,0,0,1,0,0,0,0,0,0,0,0,0
IN10029851,Low,203.67,3)CREATEDFROMINCIDENT,3,0,0,1,0,0,0,0,0,0,0,0,0
IN10203986,Low,184.92,3)CREATEDFROMINCIDENT,3,0,0,1,0,0,0,0,0,0,0,0,0
IN10094083,Low,182.17,3)CREATEDFROMINCIDENT,3,0,0,1,0,0,0,0,0,0,0,0,0
IN10040926,Medium,178.7,3)CREATEDFROMINCIDENT,3,0,0,1,0,0,0,0,0,0,0,0,0
IN10043553,Low,176.87,3)CREATEDFROMINCIDENT,3,0,0,1,0,0,0,0,0,0,0,0,0
IN10044545,High,163.97,3)CREATEDFROMINCIDENT,3,0,0,1,0,0,0,0,0,0,0,0,0
IN10053698,Low,159.37,3)CREATEDFROMINCIDENT,3,0,0,1,0,0,0,0,0,0,0,0,0
IN10053918,Low,146.42,3)CREATEDFROMINCIDENT,3,0,0,1,0,0,0,0,0,0,0,0,0
IN10080606,Low,144.3,3)CREATEDFROMINCIDENT,3,0,0,1,0,0,0,0,0,0,0,0,0
IN10064073,Medium,119.1,3)CREATEDFROMINCIDENT,3,0,0,1,0,0,0,0,0,0,0,0,0
IN10070537,Medium,116.63,3)CREATEDFROMINCIDENT,3,0,0,1,0,0,0,0,0,0,0,0,0
IN10044811,Low,111.1,3)CREATEDFROMINCIDENT,3,0,0,1,0,0,0,0,0,0,0,0,0
IN10063423,Low,109.75,3)CREATEDFROMINCIDENT,3,0,0,1,0,0,0,0,0,0,0,0,0
IN10038238,Low,109.28,3)CREATEDFROMINCIDENT,3,0,0,1,0,0,0,0,0,0,0,0,0
IN10029381,Low,104.34,3)CREATEDFROMINCIDENT,3,0,0,1,0,0,0,0,0,0,0,0,0
IN10043108,Low,102.57,3)CREATEDFROMINCIDENT,3,0,0,1,0,0,0,0,0,0,0,0,0
IN10047992,Low,94.18,3)CREATEDFROMINCIDENT,3,0,0,1,0,0,0,0,0,0,0,0,0
IN10094987,Low,93.15,3)CREATEDFROMINCIDENT,3,0,0,1,0,0,0,0,0,0,0,0,0
IN10121352,Low,92.48,3)CREATEDFROMINCIDENT,3,0,0,1,0,0,0,0,0,0,0,0,0
IN10048005,Low,91.46,3)CREATEDFROMINCIDENT,3,0,0,1,0,0,0,0,0,0,0,0,0
IN10044380,Medium,90.92,3)CREATEDFROMINCIDENT,3,0,0,1,0,0,0,0,0,0,0,0,0
IN10043803,Low,90,3)CREATEDFROMINCIDENT,3,0,0,1,0,0,0,0,0,0,0,0,0
IN10148475,Low,90,3)CREATEDFROMINCIDENT,3,0,0,1,0,0,0,0,0,0,0,0,0
IN10048028,Low,87.64,3)CREATEDFROMINCIDENT,3,0,0,1,0,0,0,0,0,0,0,0,0
IN10066723,Medium,86.41,3)CREATEDFROMINCIDENT,3,0,0,1,0,0,0,0,0,0,0,0,0
IN10100973,Low,84.05,3)CREATEDFROMINCIDENT,3,0,0,1,0,0,0,0,0,0,0,0,0
IN10127199,Medium,80.07,3)CREATEDFROMINCIDENT,3,0,0,1,0,0,0,0,0,0,0,0,0
IN10163414,Medium,77.33,3)CREATEDFROMINCIDENT,3,0,0,1,0,0,0,0,0,0,0,0,0
IN10085634,Low,73.23,3)CREATEDFROMINCIDENT,3,0,0,1,0,0,0,0,0,0,0,0,0
IN10078562,Low,62.3,3)CREATEDFROMINCIDENT,3,0,0,1,0,0,0,0,0,0,0,0,0
IN10050137,Low,60.8,3)CREATEDFROMINCIDENT,3,0,0,1,0,0,0,0,0,0,0,0,0
IN10043554,Medium,57.62,3)CREATEDFROMINCIDENT,3,0,0,1,0,0,0,0,0,0,0,0,0
IN10042447,Medium,43.48,3)CREATEDFROMINCIDENT,3,0,0,1,0,0,0,0,0,0,0,0,0
IN10048428,Medium,42.16,3)CREATEDFROMINCIDENT,3,0,0,1,0,0,0,0,0,0,0,0,0
IN10074503,Medium,38.08,3)CREATEDFROMINCIDENT,3,0,0,1,0,0,0,0,0,0,0,0,0
IN10038339,Medium,34.67,3)CREATEDFROMINCIDENT,3,0,0,1,0,0,0,0,0,0,0,0,0
IN10089122,Medium,30.92,3)CREATEDFROMINCIDENT,3,0,0,1,0,0,0,0,0,0,0,0,0
IN10050316,High,28.48,3)CREATEDFROMINCIDENT,3,0,0,1,0,0,0,0,0,0,0,0,0
IN10070992,Medium,28.18,3)CREATEDFROMINCIDENT,3,0,0,1,0,0,0,0,0,0,0,0,0
IN10069171,High,26.54,3)CREATEDFROMINCIDENT,3,0,0,1,0,0,0,0,0,0,0,0,0
IN10184501,Medium,24.13,3)CREATEDFROMINCIDENT,3,0,0,1,0,0,0,0,0,0,0,0,0
IN10044272,Medium,21.12,3)CREATEDFROMINCIDENT,3,0,0,1,0,0,0,0,0,0,0,0,0
IN10083939,Low,712.1,4)CREATEDFROMPROBLEM,4,0,0,0,1,0,0,0,0,0,0,0,0
IN10103025,Low,117.73,4)CREATEDFROMPROBLEM,4,0,0,0,1,0,0,0,0,0,0,0,0
IN10086104,Low,90.27,4)CREATEDFROMPROBLEM,4,0,0,0,1,0,0,0,0,0,0,0,0
IN10240646,Low,61.08,4)CREATEDFROMPROBLEM,4,0,0,0,1,0,0,0,0,0,0,0,0
IN10057973,Low,60.58,4)CREATEDFROMPROBLEM,4,0,0,0,1,0,0,0,0,0,0,0,0
IN10232803,Medium,56.48,4)CREATEDFROMPROBLEM,4,0,0,0,1,0,0,0,0,0,0,0,0
IN10072794,Medium,23.77,4)CREATEDFROMPROBLEM,4,0,0,0,1,0,0,0,0,0,0,0,0
IN10060715,Low,6782.34,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10179217,High,6262.33,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10177348,High,6053.75,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10047121,Low,5360.85,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10047871,Low,5196.03,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10172405,Low,5016.45,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10086713,Medium,4990.93,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10090250,Low,4912.2,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10179543,High,4769.58,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10067831,Medium,4662.46,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10177094,High,4627.67,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10089095,Medium,4625.59,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10085586,Low,4621.77,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10184595,High,4600.93,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10041661,Low,4600,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10136177,Low,4556.43,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10086028,Low,4544.63,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10188304,High,4539.91,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10097375,Low,4514.97,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10099130,Low,4472.5,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10144099,Low,4460.05,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10082871,Low,4457.12,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10092494,Low,4431.16,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10078095,Medium,4424.32,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10092304,Medium,4421.58,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10166404,Low,4420.38,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10083672,Medium,4412.13,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10093894,Low,4343.07,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10059943,Medium,4266.99,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10101340,Medium,4263.55,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10185105,Medium,4227.47,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10174151,Low,4227.42,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10086810,Low,4226.25,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10096134,Medium,4219.11,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10096594,Low,4202.63,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10087675,Low,4170.63,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10176383,Low,4163.77,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10060157,Low,4140.55,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10188342,Low,4127.12,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10154943,Low,4080.18,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10134610,Low,4062.63,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10101882,Medium,4041.12,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10101546,Low,4036.02,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10090050,Low,4029.03,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10177574,Medium,4019.9,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10109150,Low,4010,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10101043,Low,3998.48,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10067111,Low,3959.9,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10040772,Medium,3942.05,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10063159,Low,3929.41,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10111759,Medium,3887.37,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10109369,Medium,3861.4,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10106047,Medium,3836.9,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10041648,Low,3821.53,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10109626,Medium,3786.85,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10041775,High,3784.17,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10072446,Medium,3775.5,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10107988,Low,3763.98,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10104749,Medium,3755.88,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10105745,Low,3714.23,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10198783,Low,3706.88,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10194456,Low,3705.09,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10135474,Low,3703.97,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10106150,Medium,3695.01,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10192362,Low,3677.25,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10115238,Low,3612.75,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10089164,Medium,3607.83,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10079075,Medium,3606.25,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10140147,Medium,3590.53,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10093400,Medium,3589.9,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10197416,Medium,3575.57,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10074752,Low,3567.7,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10094160,Medium,3534.82,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10114059,Medium,3525.9,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10111581,Medium,3513.17,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10203921,Medium,3468.03,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10180685,Low,3460.92,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10080966,Low,3447.75,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10041855,Low,3445.32,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10201983,Low,3441.73,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10109336,Medium,3440.58,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10064222,Low,3431.4,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10092887,Low,3425.27,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10113440,Low,3408.43,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10100798,Low,3406.13,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10116420,Low,3402.5,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10094329,Low,3383.13,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10114330,Medium,3381.2,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10184707,Low,3378.62,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10116276,Medium,3366.97,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10206282,Medium,3364.27,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10117840,Medium,3356.6,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10115058,Low,3343.58,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10114940,Low,3342.53,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10089880,Medium,3342.12,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10118090,Low,3340.03,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10199281,Medium,3338.25,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10082435,Medium,3333.5,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10109112,Medium,3323.4,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10128382,Low,3317.64,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10118516,Low,3316.88,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10118692,Low,3313.94,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10068575,Low,3312.32,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10178904,Medium,3311.7,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10122496,Low,3306.6,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10205373,Medium,3296.88,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10125477,Low,3262.55,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10054229,Medium,3247.94,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10080110,Low,3237.52,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10204242,Medium,3223.15,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10121292,Low,3214.15,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10197369,High,3209.26,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10092300,Low,3203.22,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10203101,Low,3199.2,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10175674,Low,3192.05,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10198580,Medium,3186.12,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10198589,Medium,3185.71,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10121130,Low,3183.52,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10034011,Low,3178.3,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10080622,Low,3166.79,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10095776,Medium,3137.29,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10140359,Medium,3136.91,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10123170,Low,3125.6,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10093427,Low,3123.63,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10123513,Medium,3109.77,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10126817,Low,3109.43,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10125363,Low,3096.19,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10066387,Low,3090.78,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10124079,Low,3089.9,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10127210,Medium,3088.41,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10124172,Low,3084,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10194478,Low,3082.1,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10074091,Medium,3070,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10117903,Medium,3069.52,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10131006,Low,3067.67,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10078219,Low,3067.4,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10124705,Medium,3060.18,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10124977,Medium,3055.03,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10112780,Low,3048.87,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10125619,Low,3034.49,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10128608,Low,3033.02,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10206525,Low,3020,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10153033,Medium,3012.98,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10211021,Medium,3006.27,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10129256,Low,3003.45,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10109581,Low,3002.62,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10109698,Medium,3000.7,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10209162,Low,3000,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10163929,Low,2992.95,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10047765,Low,2992.3,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10203588,Medium,2980,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10192551,Medium,2970.07,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10048052,Low,2964.2,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10200189,Low,2963.97,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10096872,Low,2962.37,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
IN10052087,Low,2957.25,5)CREATEDFROMSR,5,0,0,0,0,1,0,0,0,0,0,0,0
