Row Labels,Number_of_assigned_group,BUSINESS_COMPLETION_HRS
IN10173767,1,20.17
IN10205432,1,20.17
IN10223118,1,20.17
IN10237272,1,20.17
IN10084234,1,20.18
IN10084267,1,20.18
IN10094280,1,20.18
IN10098419,2,20.18
IN10104279,4,20.18
IN10130377,1,20.18
IN10154768,1,20.18
IN10167536,1,20.18
IN10168089,1,20.18
IN10169495,1,20.18
IN10214276,1,20.18
IN10218365,1,20.18
IN10234244,2,20.18
IN10083029,5,20.19
IN10084268,1,20.19
IN10098564,4,20.19
IN10225550,1,20.19
IN10232534,1,20.19
IN10074229,1,20.2
IN10084232,1,20.2
IN10088390,1,20.2
IN10094279,1,20.2
IN10155456,1,20.2
IN10224585,2,20.2
IN10235604,1,20.2
IN10071384,1,20.21
IN10135787,1,20.21
IN10196819,1,20.21
IN10209564,2,20.21
IN10075532,1,20.22
IN10086906,1,20.22
IN10185224,1,20.22
IN10186524,1,20.22
IN10213398,1,20.22
IN10222924,1,20.22
IN10043828,2,20.23
IN10051084,1,20.23
IN10056826,1,20.23
IN10068515,4,20.23
IN10092563,1,20.23
IN10154875,2,20.23
IN10164765,2,20.23
IN10180812,1,20.23
IN10181547,2,20.23
IN10188954,2,20.23
IN10216547,1,20.23
IN10050496,1,20.24
IN10157600,1,20.24
IN10179193,1,20.24
IN10197277,3,20.24
IN10199108,1,20.24
IN10199109,1,20.24
IN10240051,3,20.24
IN10048208,2,20.25
IN10051011,1,20.25
IN10066227,2,20.25
IN10075539,2,20.25
IN10099283,1,20.25
IN10139183,1,20.25
IN10143169,1,20.25
IN10143516,1,20.25
IN10183127,1,20.25
IN10203198,1,20.25
IN10241997,2,20.25
IN10249719,2,20.25
IN10071882,1,20.26
IN10103870,5,20.26
IN10104447,2,20.26
IN10260727,1,20.26
IN10046553,1,20.27
IN10200771,1,20.27
IN10236662,1,20.27
IN10065903,3,20.28
IN10150604,1,20.28
IN10152779,1,20.28
IN10157734,1,20.28
IN10195572,1,20.28
IN10212414,1,20.28
IN10217440,1,20.28
IN10047596,2,20.29
IN10055368,2,20.29
IN10132391,4,20.29
IN10198742,2,20.29
IN10055280,1,20.3
IN10060605,4,20.3
IN10063785,1,20.3
IN10077222,2,20.3
IN10084277,1,20.3
IN10086878,2,20.3
IN10088247,3,20.3
IN10102385,1,20.3
IN10113085,1,20.3
IN10137877,2,20.3
IN10154596,3,20.3
IN10158357,1,20.3
IN10177244,2,20.3
IN10194612,1,20.3
IN10234116,1,20.3
IN10071313,1,20.31
IN10084275,1,20.31
IN10192892,1,20.31
IN10197287,1,20.31
IN10056484,1,20.32
IN10068032,1,20.32
IN10080749,1,20.32
IN10084274,1,20.32
IN10092486,1,20.32
IN10106939,2,20.32
IN10110253,1,20.32
IN10155492,1,20.32
IN10167593,1,20.32
IN10192009,1,20.32
IN10214925,1,20.32
IN10233743,3,20.32
IN10038901,2,20.33
IN10084278,1,20.33
IN10084285,1,20.33
IN10087332,1,20.33
IN10094278,1,20.33
IN10105378,1,20.33
IN10119645,1,20.33
IN10125386,1,20.33
IN10134842,1,20.33
IN10166179,1,20.33
IN10189379,2,20.33
IN10206552,1,20.33
IN10210519,2,20.33
IN10216578,1,20.33
IN10226938,1,20.33
IN10239510,1,20.33
IN10253206,2,20.33
IN10098607,1,20.34
IN10077384,1,20.35
IN10086089,1,20.35
IN10095000,1,20.35
IN10110131,1,20.35
IN10117290,1,20.35
IN10122788,1,20.35
IN10122871,1,20.35
IN10153366,1,20.35
IN10168040,1,20.35
IN10168424,1,20.35
IN10214920,2,20.35
IN10215851,5,20.35
IN10221333,1,20.35
IN10226937,1,20.35
IN10250474,1,20.35
IN10036148,1,20.36
IN10157269,1,20.36
IN10069636,1,20.37
IN10079663,2,20.37
IN10084279,1,20.37
IN10084284,1,20.37
IN10183231,1,20.37
IN10206886,1,20.37
IN10224757,1,20.37
IN10233075,2,20.37
IN10242665,1,20.37
IN10261805,3,20.37
IN10035241,1,20.38
IN10076396,2,20.38
IN10088515,1,20.38
IN10110984,2,20.38
IN10136734,1,20.38
IN10143746,1,20.38
IN10149562,1,20.38
IN10189373,1,20.38
IN10205467,2,20.38
IN10212367,4,20.38
IN10216236,4,20.38
IN10219220,2,20.38
IN10220886,3,20.38
IN10221419,1,20.38
IN10242670,1,20.38
IN10058575,1,20.39
IN10084282,1,20.39
IN10106979,1,20.39
IN10046942,1,20.4
IN10053800,1,20.4
IN10070685,4,20.4
IN10098474,1,20.4
IN10114846,1,20.4
IN10123509,2,20.4
IN10129253,1,20.4
IN10213313,1,20.4
IN10226936,1,20.4
IN10242666,1,20.4
IN10242668,1,20.4
IN10256482,1,20.4
IN10261809,1,20.4
IN10101548,1,20.41
IN10106835,1,20.41
IN10129997,1,20.41
IN10084281,1,20.42
IN10124035,2,20.42
IN10135324,1,20.42
IN10163705,1,20.42
IN10207757,1,20.42
IN10213350,1,20.42
IN10225929,1,20.42
IN10237181,3,20.42
IN10240138,1,20.42
IN10242664,1,20.42
IN10244770,1,20.42
IN10249350,1,20.42
IN10075644,2,20.43
IN10104854,1,20.43
IN10105123,2,20.43
IN10122767,1,20.43
IN10181446,1,20.43
IN10188487,1,20.43
IN10225930,1,20.43
IN10226934,1,20.43
IN10234469,1,20.43
IN10096789,1,20.44
IN10202975,1,20.44
IN10059859,1,20.45
IN10067343,2,20.45
IN10082734,2,20.45
IN10093113,1,20.45
IN10153158,2,20.45
IN10184590,2,20.45
IN10188258,2,20.45
IN10201468,2,20.45
IN10212411,1,20.45
IN10213357,1,20.45
IN10248910,2,20.45
IN10057394,1,20.46
IN10107000,1,20.46
IN10047667,3,20.47
IN10050364,1,20.47
IN10214582,1,20.47
IN10222900,1,20.47
IN10236195,1,20.47
IN10240300,1,20.47
IN10033539,2,20.48
IN10042069,1,20.48
IN10050363,1,20.48
IN10057589,1,20.48
IN10102347,2,20.48
IN10107957,5,20.48
IN10114344,1,20.48
IN10120936,1,20.48
IN10123530,1,20.48
IN10144062,1,20.48
IN10177396,1,20.48
IN10226932,1,20.48
IN10250866,1,20.48
IN10110507,1,20.49
IN10141737,2,20.49
IN10240930,1,20.49
IN10077877,2,20.5
IN10078671,2,20.5
IN10085921,1,20.5
IN10098398,1,20.5
IN10136965,1,20.5
IN10207981,2,20.5
IN10226931,1,20.5
IN10227058,1,20.5
IN10240057,2,20.5
IN10240135,1,20.5
IN10240308,1,20.5
IN10255395,5,20.5
IN10075777,2,20.51
IN10090223,2,20.51
IN10074064,1,20.52
IN10098179,1,20.52
IN10134086,1,20.52
IN10206871,1,20.52
IN10224107,4,20.52
IN10226925,1,20.52
IN10226926,1,20.52
IN10231079,1,20.52
IN10253728,1,20.52
IN10030873,1,20.53
IN10065972,2,20.53
IN10077915,4,20.53
IN10130552,2,20.53
IN10150716,2,20.53
IN10168196,1,20.53
IN10209840,3,20.53
IN10226923,1,20.53
IN10229067,1,20.53
IN10236591,1,20.53
IN10040109,1,20.54
IN10082195,1,20.54
IN10087071,2,20.54
IN10113004,1,20.54
IN10127743,3,20.54
IN10150078,2,20.54
IN10199121,1,20.54
IN10071179,1,20.55
IN10075636,2,20.55
IN10099225,2,20.55
IN10105071,1,20.55
IN10124711,1,20.55
IN10154416,1,20.55
IN10212272,3,20.55
IN10216151,2,20.55
IN10226922,1,20.55
IN10237900,1,20.55
IN10251411,2,20.55
IN10199116,1,20.56
IN10044250,3,20.57
IN10087217,3,20.57
IN10090423,2,20.57
IN10118491,3,20.57
IN10125369,1,20.57
IN10140973,1,20.57
IN10148268,1,20.57
IN10156170,1,20.57
IN10199107,1,20.57
IN10199115,1,20.57
IN10233951,1,20.57
IN10241645,2,20.57
IN10255566,1,20.57
IN10038387,2,20.58
IN10106366,1,20.58
IN10140236,1,20.58
IN10144031,3,20.58
IN10156169,1,20.58
IN10186230,1,20.58
IN10226911,1,20.58
IN10226941,1,20.58
IN10229066,1,20.58
IN10135370,1,20.59
IN10088019,1,20.6
IN10101890,1,20.6
IN10154333,1,20.6
IN10208573,1,20.6
IN10211534,1,20.6
IN10220286,3,20.6
IN10226909,1,20.6
IN10254244,1,20.6
IN10051789,1,20.61
IN10080273,1,20.62
IN10109328,2,20.62
IN10127762,1,20.62
IN10146806,1,20.62
IN10199114,1,20.62
IN10240213,5,20.62
IN10139131,1,20.63
IN10144802,2,20.63
IN10150889,1,20.63
IN10223609,2,20.63
IN10226890,1,20.63
IN10226905,1,20.63
IN10230316,2,20.63
IN10236508,1,20.63
IN10254375,2,20.63
IN10175595,2,20.64
IN10051239,1,20.65
IN10091785,2,20.65
IN10103965,1,20.65
IN10136470,3,20.65
IN10140379,1,20.65
IN10158468,2,20.65
IN10159419,1,20.65
IN10179187,1,20.65
IN10179389,1,20.65
IN10182772,1,20.65
IN10199117,1,20.65
IN10199118,1,20.65
IN10208578,1,20.65
IN10208793,1,20.65
IN10210233,1,20.65
IN10226891,1,20.65
IN10229065,1,20.65
IN10072876,1,20.66
IN10146842,1,20.66
IN10175879,1,20.66
IN10228519,1,20.66
IN10042668,1,20.67
IN10050482,1,20.67
IN10103110,1,20.67
IN10116278,2,20.67
IN10202252,1,20.67
IN10204628,1,20.67
IN10260291,1,20.67
IN10102041,2,20.68
IN10127111,1,20.68
IN10140845,3,20.68
IN10166124,2,20.68
IN10207075,1,20.68
IN10210817,1,20.68
IN10223608,2,20.68
IN10226894,1,20.68
IN10229803,2,20.68
IN10237646,1,20.68
IN10129999,2,20.69
IN10172391,1,20.69
IN10195466,1,20.69
IN10199112,1,20.69
IN10199113,1,20.69
IN10220280,3,20.69
IN10237647,1,20.69
IN10050019,2,20.7
IN10082862,1,20.7
IN10116187,6,20.7
IN10139262,3,20.7
IN10172649,1,20.7
IN10177720,4,20.7
IN10197041,1,20.7
IN10201393,1,20.7
IN10202251,1,20.7
IN10220689,1,20.7
IN10226904,1,20.7
IN10227217,1,20.7
IN10251973,1,20.7
IN10165948,2,20.71
IN10247114,2,20.71
IN10061067,1,20.72
IN10079599,1,20.72
IN10082352,1,20.72
IN10123894,1,20.72
IN10135382,1,20.72
IN10154544,1,20.72
IN10167183,1,20.72
IN10185283,1,20.72
IN10201394,4,20.72
IN10218508,2,20.72
IN10226901,1,20.72
IN10237648,1,20.72
IN10055430,1,20.73
IN10090321,1,20.73
IN10133178,1,20.73
IN10172218,2,20.73
IN10226902,1,20.73
IN10032160,1,20.74
IN10104498,1,20.74
IN10191318,1,20.74
IN10230187,1,20.74
IN10237649,1,20.74
IN10061061,1,20.75
IN10069355,1,20.75
IN10097568,1,20.75
IN10100277,2,20.75
IN10160939,1,20.75
IN10161023,1,20.75
IN10211851,1,20.75
IN10226907,1,20.75
IN10237650,1,20.75
IN10237651,1,20.75
IN10169014,3,20.76
IN10199278,2,20.76
IN10031408,1,20.77
IN10095637,1,20.77
IN10151031,1,20.77
IN10193215,1,20.77
IN10226918,1,20.77
IN10229064,1,20.77
IN10052583,1,20.78
IN10072191,7,20.78
IN10079059,2,20.78
IN10092746,1,20.78
IN10092871,1,20.78
IN10093248,1,20.78
IN10107416,1,20.78
IN10162629,3,20.78
IN10176166,5,20.78
IN10189524,1,20.78
IN10226944,1,20.78
IN10227885,1,20.78
IN10229058,1,20.78
IN10040554,4,20.79
IN10088384,2,20.79
IN10153633,1,20.79
IN10240304,2,20.79
IN10052586,1,20.8
IN10071333,1,20.8
IN10083183,1,20.8
IN10126836,1,20.8
IN10128188,2,20.8
IN10162178,2,20.8
IN10190853,2,20.8
IN10229057,1,20.8
IN10233059,1,20.8
IN10252519,1,20.8
IN10127723,1,20.81
IN10192881,1,20.81
IN10198076,1,20.81
IN10052516,1,20.82
IN10082452,3,20.82
IN10093906,2,20.82
IN10105476,2,20.82
IN10105587,2,20.82
IN10116284,4,20.82
IN10143049,1,20.82
IN10226945,1,20.82
IN10229055,1,20.82
IN10248341,2,20.82
IN10261628,1,20.82
IN10050110,2,20.83
IN10052585,1,20.83
IN10056580,1,20.83
IN10078573,2,20.83
IN10098767,1,20.83
IN10104215,1,20.83
IN10150887,1,20.83
IN10172929,1,20.83
IN10213756,2,20.83
IN10226953,1,20.83
IN10227105,1,20.83
IN10231001,1,20.83
IN10032015,1,20.84
IN10065129,1,20.84
IN10067830,1,20.84
IN10112766,1,20.84
IN10030887,2,20.85
IN10052598,1,20.85
IN10069571,2,20.85
IN10108713,1,20.85
IN10136223,5,20.85
IN10144024,1,20.85
IN10189749,1,20.85
IN10190836,1,20.85
IN10195193,2,20.85
IN10210015,4,20.85
IN10226950,1,20.85
IN10229695,1,20.85
IN10245376,1,20.85
IN10141079,1,20.86
IN10236610,1,20.86
IN10052592,1,20.87
IN10104118,1,20.87
IN10112193,3,20.87
IN10114967,1,20.87
IN10117416,1,20.87
IN10230193,1,20.87
IN10259317,2,20.87
IN10053237,1,20.88
IN10084238,1,20.88
IN10103967,1,20.88
IN10112192,3,20.88
IN10121630,3,20.88
IN10123899,1,20.88
IN10142743,1,20.88
IN10165402,1,20.88
IN10213706,2,20.88
IN10225996,2,20.88
IN10064873,4,20.89
IN10097901,1,20.89
IN10121036,1,20.89
IN10044194,1,20.9
IN10054063,2,20.9
IN10060352,1,20.9
IN10071253,1,20.9
IN10081598,1,20.9
IN10088093,1,20.9
IN10142312,1,20.9
IN10235991,2,20.9
IN10258414,2,20.9
IN10137860,1,20.91
IN10099231,3,20.92
IN10104214,2,20.92
IN10130214,2,20.92
IN10155745,5,20.92
IN10211642,2,20.92
IN10218805,1,20.92
IN10226989,5,20.92
IN10235062,1,20.92
IN10247392,2,20.92
IN10035469,2,20.93
IN10104219,2,20.93
IN10210078,1,20.93
IN10225971,2,20.93
IN10175620,3,20.94
IN10218806,1,20.94
IN10218807,1,20.94
IN10218808,1,20.94
IN10068239,1,20.95
IN10076607,1,20.95
IN10077029,1,20.95
IN10088059,3,20.95
IN10089132,1,20.95
IN10091886,1,20.95
IN10167241,1,20.95
IN10206996,1,20.95
IN10206997,1,20.95
