BUSINESS_COMPLETION_HRS,Label1,Label2,Label3,Label4,Label5,Label6,Label7,Label8,Label9,Label10,Label11,Label12
432.97,0,0,1,0,0,0,0,0,0,0,0,0
424.17,0,0,1,0,0,0,0,0,0,0,0,0
419.52,0,0,1,0,0,0,0,0,0,0,0,0
346.23,0,0,1,0,0,0,0,0,0,0,0,0
320.22,0,0,1,0,0,0,0,0,0,0,0,0
286.32,0,0,1,0,0,0,0,0,0,0,0,0
285.93,0,0,1,0,0,0,0,0,0,0,0,0
285.71,0,0,1,0,0,0,0,0,0,0,0,0
268.38,0,0,1,0,0,0,0,0,0,0,0,0
266.4,0,0,1,0,0,0,0,0,0,0,0,0
231.67,0,0,1,0,0,0,0,0,0,0,0,0
229.75,0,0,1,0,0,0,0,0,0,0,0,0
221.57,0,0,1,0,0,0,0,0,0,0,0,0
210,0,0,1,0,0,0,0,0,0,0,0,0
203.67,0,0,1,0,0,0,0,0,0,0,0,0
184.92,0,0,1,0,0,0,0,0,0,0,0,0
182.17,0,0,1,0,0,0,0,0,0,0,0,0
178.7,0,0,1,0,0,0,0,0,0,0,0,0
176.87,0,0,1,0,0,0,0,0,0,0,0,0
163.97,0,0,1,0,0,0,0,0,0,0,0,0
159.37,0,0,1,0,0,0,0,0,0,0,0,0
146.42,0,0,1,0,0,0,0,0,0,0,0,0
144.3,0,0,1,0,0,0,0,0,0,0,0,0
119.1,0,0,1,0,0,0,0,0,0,0,0,0
116.63,0,0,1,0,0,0,0,0,0,0,0,0
111.1,0,0,1,0,0,0,0,0,0,0,0,0
109.75,0,0,1,0,0,0,0,0,0,0,0,0
109.28,0,0,1,0,0,0,0,0,0,0,0,0
104.34,0,0,1,0,0,0,0,0,0,0,0,0
102.57,0,0,1,0,0,0,0,0,0,0,0,0
94.18,0,0,1,0,0,0,0,0,0,0,0,0
93.15,0,0,1,0,0,0,0,0,0,0,0,0
92.48,0,0,1,0,0,0,0,0,0,0,0,0
91.46,0,0,1,0,0,0,0,0,0,0,0,0
90.92,0,0,1,0,0,0,0,0,0,0,0,0
90,0,0,1,0,0,0,0,0,0,0,0,0
90,0,0,1,0,0,0,0,0,0,0,0,0
87.64,0,0,1,0,0,0,0,0,0,0,0,0
86.41,0,0,1,0,0,0,0,0,0,0,0,0
84.05,0,0,1,0,0,0,0,0,0,0,0,0
80.07,0,0,1,0,0,0,0,0,0,0,0,0
77.33,0,0,1,0,0,0,0,0,0,0,0,0
73.23,0,0,1,0,0,0,0,0,0,0,0,0
62.3,0,0,1,0,0,0,0,0,0,0,0,0
60.8,0,0,1,0,0,0,0,0,0,0,0,0
57.62,0,0,1,0,0,0,0,0,0,0,0,0
43.48,0,0,1,0,0,0,0,0,0,0,0,0
42.16,0,0,1,0,0,0,0,0,0,0,0,0
38.08,0,0,1,0,0,0,0,0,0,0,0,0
34.67,0,0,1,0,0,0,0,0,0,0,0,0
30.92,0,0,1,0,0,0,0,0,0,0,0,0
28.48,0,0,1,0,0,0,0,0,0,0,0,0
28.18,0,0,1,0,0,0,0,0,0,0,0,0
26.54,0,0,1,0,0,0,0,0,0,0,0,0
24.13,0,0,1,0,0,0,0,0,0,0,0,0
21.12,0,0,1,0,0,0,0,0,0,0,0,0
712.1,0,0,0,1,0,0,0,0,0,0,0,0
117.73,0,0,0,1,0,0,0,0,0,0,0,0
90.27,0,0,0,1,0,0,0,0,0,0,0,0
61.08,0,0,0,1,0,0,0,0,0,0,0,0
60.58,0,0,0,1,0,0,0,0,0,0,0,0
56.48,0,0,0,1,0,0,0,0,0,0,0,0
23.77,0,0,0,1,0,0,0,0,0,0,0,0
6782.34,0,0,0,0,1,0,0,0,0,0,0,0
6262.33,0,0,0,0,1,0,0,0,0,0,0,0
6053.75,0,0,0,0,1,0,0,0,0,0,0,0
5360.85,0,0,0,0,1,0,0,0,0,0,0,0
5196.03,0,0,0,0,1,0,0,0,0,0,0,0
5016.45,0,0,0,0,1,0,0,0,0,0,0,0
4990.93,0,0,0,0,1,0,0,0,0,0,0,0
4912.2,0,0,0,0,1,0,0,0,0,0,0,0
4769.58,0,0,0,0,1,0,0,0,0,0,0,0
4662.46,0,0,0,0,1,0,0,0,0,0,0,0
4627.67,0,0,0,0,1,0,0,0,0,0,0,0
4625.59,0,0,0,0,1,0,0,0,0,0,0,0
4621.77,0,0,0,0,1,0,0,0,0,0,0,0
4600.93,0,0,0,0,1,0,0,0,0,0,0,0
4600,0,0,0,0,1,0,0,0,0,0,0,0
4556.43,0,0,0,0,1,0,0,0,0,0,0,0
4544.63,0,0,0,0,1,0,0,0,0,0,0,0
4539.91,0,0,0,0,1,0,0,0,0,0,0,0
4514.97,0,0,0,0,1,0,0,0,0,0,0,0
4472.5,0,0,0,0,1,0,0,0,0,0,0,0
4460.05,0,0,0,0,1,0,0,0,0,0,0,0
4457.12,0,0,0,0,1,0,0,0,0,0,0,0
4431.16,0,0,0,0,1,0,0,0,0,0,0,0
4424.32,0,0,0,0,1,0,0,0,0,0,0,0
4421.58,0,0,0,0,1,0,0,0,0,0,0,0
4420.38,0,0,0,0,1,0,0,0,0,0,0,0
4412.13,0,0,0,0,1,0,0,0,0,0,0,0
4343.07,0,0,0,0,1,0,0,0,0,0,0,0
4266.99,0,0,0,0,1,0,0,0,0,0,0,0
4263.55,0,0,0,0,1,0,0,0,0,0,0,0
4227.47,0,0,0,0,1,0,0,0,0,0,0,0
4227.42,0,0,0,0,1,0,0,0,0,0,0,0
4226.25,0,0,0,0,1,0,0,0,0,0,0,0
4219.11,0,0,0,0,1,0,0,0,0,0,0,0
4202.63,0,0,0,0,1,0,0,0,0,0,0,0
4170.63,0,0,0,0,1,0,0,0,0,0,0,0
4163.77,0,0,0,0,1,0,0,0,0,0,0,0
4140.55,0,0,0,0,1,0,0,0,0,0,0,0
4127.12,0,0,0,0,1,0,0,0,0,0,0,0
4080.18,0,0,0,0,1,0,0,0,0,0,0,0
4062.63,0,0,0,0,1,0,0,0,0,0,0,0
4041.12,0,0,0,0,1,0,0,0,0,0,0,0
4036.02,0,0,0,0,1,0,0,0,0,0,0,0
4029.03,0,0,0,0,1,0,0,0,0,0,0,0
4019.9,0,0,0,0,1,0,0,0,0,0,0,0
4010,0,0,0,0,1,0,0,0,0,0,0,0
3998.48,0,0,0,0,1,0,0,0,0,0,0,0
3959.9,0,0,0,0,1,0,0,0,0,0,0,0
3942.05,0,0,0,0,1,0,0,0,0,0,0,0
3929.41,0,0,0,0,1,0,0,0,0,0,0,0
3887.37,0,0,0,0,1,0,0,0,0,0,0,0
3861.4,0,0,0,0,1,0,0,0,0,0,0,0
3836.9,0,0,0,0,1,0,0,0,0,0,0,0
3821.53,0,0,0,0,1,0,0,0,0,0,0,0
3786.85,0,0,0,0,1,0,0,0,0,0,0,0
3784.17,0,0,0,0,1,0,0,0,0,0,0,0
3775.5,0,0,0,0,1,0,0,0,0,0,0,0
3763.98,0,0,0,0,1,0,0,0,0,0,0,0
3755.88,0,0,0,0,1,0,0,0,0,0,0,0
3714.23,0,0,0,0,1,0,0,0,0,0,0,0
3706.88,0,0,0,0,1,0,0,0,0,0,0,0
3705.09,0,0,0,0,1,0,0,0,0,0,0,0
3703.97,0,0,0,0,1,0,0,0,0,0,0,0
3695.01,0,0,0,0,1,0,0,0,0,0,0,0
3677.25,0,0,0,0,1,0,0,0,0,0,0,0
3612.75,0,0,0,0,1,0,0,0,0,0,0,0
3607.83,0,0,0,0,1,0,0,0,0,0,0,0
3606.25,0,0,0,0,1,0,0,0,0,0,0,0
3590.53,0,0,0,0,1,0,0,0,0,0,0,0
3589.9,0,0,0,0,1,0,0,0,0,0,0,0
3575.57,0,0,0,0,1,0,0,0,0,0,0,0
3567.7,0,0,0,0,1,0,0,0,0,0,0,0
3534.82,0,0,0,0,1,0,0,0,0,0,0,0
3525.9,0,0,0,0,1,0,0,0,0,0,0,0
3513.17,0,0,0,0,1,0,0,0,0,0,0,0
3468.03,0,0,0,0,1,0,0,0,0,0,0,0
3460.92,0,0,0,0,1,0,0,0,0,0,0,0
3447.75,0,0,0,0,1,0,0,0,0,0,0,0
3445.32,0,0,0,0,1,0,0,0,0,0,0,0
3441.73,0,0,0,0,1,0,0,0,0,0,0,0
3440.58,0,0,0,0,1,0,0,0,0,0,0,0
3431.4,0,0,0,0,1,0,0,0,0,0,0,0
3425.27,0,0,0,0,1,0,0,0,0,0,0,0
3408.43,0,0,0,0,1,0,0,0,0,0,0,0
3406.13,0,0,0,0,1,0,0,0,0,0,0,0
3402.5,0,0,0,0,1,0,0,0,0,0,0,0
3383.13,0,0,0,0,1,0,0,0,0,0,0,0
3381.2,0,0,0,0,1,0,0,0,0,0,0,0
3378.62,0,0,0,0,1,0,0,0,0,0,0,0
3366.97,0,0,0,0,1,0,0,0,0,0,0,0
3364.27,0,0,0,0,1,0,0,0,0,0,0,0
3356.6,0,0,0,0,1,0,0,0,0,0,0,0
3343.58,0,0,0,0,1,0,0,0,0,0,0,0
3342.53,0,0,0,0,1,0,0,0,0,0,0,0
3342.12,0,0,0,0,1,0,0,0,0,0,0,0
3340.03,0,0,0,0,1,0,0,0,0,0,0,0
3338.25,0,0,0,0,1,0,0,0,0,0,0,0
3333.5,0,0,0,0,1,0,0,0,0,0,0,0
3323.4,0,0,0,0,1,0,0,0,0,0,0,0
3317.64,0,0,0,0,1,0,0,0,0,0,0,0
3316.88,0,0,0,0,1,0,0,0,0,0,0,0
3313.94,0,0,0,0,1,0,0,0,0,0,0,0
3312.32,0,0,0,0,1,0,0,0,0,0,0,0
3311.7,0,0,0,0,1,0,0,0,0,0,0,0
3306.6,0,0,0,0,1,0,0,0,0,0,0,0
3296.88,0,0,0,0,1,0,0,0,0,0,0,0
3262.55,0,0,0,0,1,0,0,0,0,0,0,0
3247.94,0,0,0,0,1,0,0,0,0,0,0,0
3237.52,0,0,0,0,1,0,0,0,0,0,0,0
3223.15,0,0,0,0,1,0,0,0,0,0,0,0
3214.15,0,0,0,0,1,0,0,0,0,0,0,0
3209.26,0,0,0,0,1,0,0,0,0,0,0,0
3203.22,0,0,0,0,1,0,0,0,0,0,0,0
3199.2,0,0,0,0,1,0,0,0,0,0,0,0
3192.05,0,0,0,0,1,0,0,0,0,0,0,0
3186.12,0,0,0,0,1,0,0,0,0,0,0,0
3185.71,0,0,0,0,1,0,0,0,0,0,0,0
3183.52,0,0,0,0,1,0,0,0,0,0,0,0
3178.3,0,0,0,0,1,0,0,0,0,0,0,0
3166.79,0,0,0,0,1,0,0,0,0,0,0,0
3137.29,0,0,0,0,1,0,0,0,0,0,0,0
3136.91,0,0,0,0,1,0,0,0,0,0,0,0
3125.6,0,0,0,0,1,0,0,0,0,0,0,0
3123.63,0,0,0,0,1,0,0,0,0,0,0,0
3109.77,0,0,0,0,1,0,0,0,0,0,0,0
3109.43,0,0,0,0,1,0,0,0,0,0,0,0
3096.19,0,0,0,0,1,0,0,0,0,0,0,0
3090.78,0,0,0,0,1,0,0,0,0,0,0,0
3089.9,0,0,0,0,1,0,0,0,0,0,0,0
3088.41,0,0,0,0,1,0,0,0,0,0,0,0
3084,0,0,0,0,1,0,0,0,0,0,0,0
3082.1,0,0,0,0,1,0,0,0,0,0,0,0
3070,0,0,0,0,1,0,0,0,0,0,0,0
3069.52,0,0,0,0,1,0,0,0,0,0,0,0
3067.67,0,0,0,0,1,0,0,0,0,0,0,0
3067.4,0,0,0,0,1,0,0,0,0,0,0,0
3060.18,0,0,0,0,1,0,0,0,0,0,0,0
3055.03,0,0,0,0,1,0,0,0,0,0,0,0
3048.87,0,0,0,0,1,0,0,0,0,0,0,0
3034.49,0,0,0,0,1,0,0,0,0,0,0,0
3033.02,0,0,0,0,1,0,0,0,0,0,0,0
3020,0,0,0,0,1,0,0,0,0,0,0,0
3012.98,0,0,0,0,1,0,0,0,0,0,0,0
3006.27,0,0,0,0,1,0,0,0,0,0,0,0
3003.45,0,0,0,0,1,0,0,0,0,0,0,0
3002.62,0,0,0,0,1,0,0,0,0,0,0,0
3000.7,0,0,0,0,1,0,0,0,0,0,0,0
3000,0,0,0,0,1,0,0,0,0,0,0,0
2992.95,0,0,0,0,1,0,0,0,0,0,0,0
2992.3,0,0,0,0,1,0,0,0,0,0,0,0
2980,0,0,0,0,1,0,0,0,0,0,0,0
2970.07,0,0,0,0,1,0,0,0,0,0,0,0
2964.2,0,0,0,0,1,0,0,0,0,0,0,0
2963.97,0,0,0,0,1,0,0,0,0,0,0,0
2962.37,0,0,0,0,1,0,0,0,0,0,0,0
2957.25,0,0,0,0,1,0,0,0,0,0,0,0
2955.06,0,0,0,0,1,0,0,0,0,0,0,0
2951.4,0,0,0,0,1,0,0,0,0,0,0,0
2949.03,0,0,0,0,1,0,0,0,0,0,0,0
2948.4,0,0,0,0,1,0,0,0,0,0,0,0
2942.38,0,0,0,0,1,0,0,0,0,0,0,0
2935.68,0,0,0,0,1,0,0,0,0,0,0,0
2932.11,0,0,0,0,1,0,0,0,0,0,0,0
2930.13,0,0,0,0,1,0,0,0,0,0,0,0
2922.09,0,0,0,0,1,0,0,0,0,0,0,0
2915.2,0,0,0,0,1,0,0,0,0,0,0,0
2910.72,0,0,0,0,1,0,0,0,0,0,0,0
2907.73,0,0,0,0,1,0,0,0,0,0,0,0
2902.63,0,0,0,0,1,0,0,0,0,0,0,0
2901.15,0,0,0,0,1,0,0,0,0,0,0,0
2898.12,0,0,0,0,1,0,0,0,0,0,0,0
2894.95,0,0,0,0,1,0,0,0,0,0,0,0
2894.92,0,0,0,0,1,0,0,0,0,0,0,0
2869.93,0,0,0,0,1,0,0,0,0,0,0,0
2864.07,0,0,0,0,1,0,0,0,0,0,0,0
2861.05,0,0,0,0,1,0,0,0,0,0,0,0
2853.2,0,0,0,0,1,0,0,0,0,0,0,0
2851.26,0,0,0,0,1,0,0,0,0,0,0,0
2849.57,0,0,0,0,1,0,0,0,0,0,0,0
2848.57,0,0,0,0,1,0,0,0,0,0,0,0
2844.87,0,0,0,0,1,0,0,0,0,0,0,0
2843.48,0,0,0,0,1,0,0,0,0,0,0,0
2841.55,0,0,0,0,1,0,0,0,0,0,0,0
2839.72,0,0,0,0,1,0,0,0,0,0,0,0
2838.97,0,0,0,0,1,0,0,0,0,0,0,0
2833.89,0,0,0,0,1,0,0,0,0,0,0,0
2828.83,0,0,0,0,1,0,0,0,0,0,0,0
2827.73,0,0,0,0,1,0,0,0,0,0,0,0
2826.83,0,0,0,0,1,0,0,0,0,0,0,0
2823.12,0,0,0,0,1,0,0,0,0,0,0,0
2822.39,0,0,0,0,1,0,0,0,0,0,0,0
2822.36,0,0,0,0,1,0,0,0,0,0,0,0
2821.73,0,0,0,0,1,0,0,0,0,0,0,0
2818.18,0,0,0,0,1,0,0,0,0,0,0,0
2816.29,0,0,0,0,1,0,0,0,0,0,0,0
2814.77,0,0,0,0,1,0,0,0,0,0,0,0
2810,0,0,0,0,1,0,0,0,0,0,0,0
2807.86,0,0,0,0,1,0,0,0,0,0,0,0
2802.93,0,0,0,0,1,0,0,0,0,0,0,0
2800.63,0,0,0,0,1,0,0,0,0,0,0,0
2793.97,0,0,0,0,1,0,0,0,0,0,0,0
2788.63,0,0,0,0,1,0,0,0,0,0,0,0
2782.88,0,0,0,0,1,0,0,0,0,0,0,0
2776.45,0,0,0,0,1,0,0,0,0,0,0,0
2775.43,0,0,0,0,1,0,0,0,0,0,0,0
2771.85,0,0,0,0,1,0,0,0,0,0,0,0
2769.8,0,0,0,0,1,0,0,0,0,0,0,0
2769.55,0,0,0,0,1,0,0,0,0,0,0,0
2765.65,0,0,0,0,1,0,0,0,0,0,0,0
2764.56,0,0,0,0,1,0,0,0,0,0,0,0
2754.93,0,0,0,0,1,0,0,0,0,0,0,0
2737.85,0,0,0,0,1,0,0,0,0,0,0,0
2735.42,0,0,0,0,1,0,0,0,0,0,0,0
2723.78,0,0,0,0,1,0,0,0,0,0,0,0
2722.88,0,0,0,0,1,0,0,0,0,0,0,0
2717.52,0,0,0,0,1,0,0,0,0,0,0,0
2705.93,0,0,0,0,1,0,0,0,0,0,0,0
2700.35,0,0,0,0,1,0,0,0,0,0,0,0
2697.53,0,0,0,0,1,0,0,0,0,0,0,0
2696.3,0,0,0,0,1,0,0,0,0,0,0,0
2695.18,0,0,0,0,1,0,0,0,0,0,0,0
2694.3,0,0,0,0,1,0,0,0,0,0,0,0
2680.25,0,0,0,0,1,0,0,0,0,0,0,0
2675.52,0,0,0,0,1,0,0,0,0,0,0,0
2672.03,0,0,0,0,1,0,0,0,0,0,0,0
2665.18,0,0,0,0,1,0,0,0,0,0,0,0
2660.12,0,0,0,0,1,0,0,0,0,0,0,0
2656.95,0,0,0,0,1,0,0,0,0,0,0,0
2656.54,0,0,0,0,1,0,0,0,0,0,0,0
2654.82,0,0,0,0,1,0,0,0,0,0,0,0
2636.47,0,0,0,0,1,0,0,0,0,0,0,0
2636.1,0,0,0,0,1,0,0,0,0,0,0,0
2630.14,0,0,0,0,1,0,0,0,0,0,0,0
2628.47,0,0,0,0,1,0,0,0,0,0,0,0
2627.35,0,0,0,0,1,0,0,0,0,0,0,0
2626.88,0,0,0,0,1,0,0,0,0,0,0,0
2617.57,0,0,0,0,1,0,0,0,0,0,0,0
2610.38,0,0,0,0,1,0,0,0,0,0,0,0
2608.03,0,0,0,0,1,0,0,0,0,0,0,0
2607.62,0,0,0,0,1,0,0,0,0,0,0,0
2607.28,0,0,0,0,1,0,0,0,0,0,0,0
2606.82,0,0,0,0,1,0,0,0,0,0,0,0
2605.2,0,0,0,0,1,0,0,0,0,0,0,0
2601.18,0,0,0,0,1,0,0,0,0,0,0,0
2600,0,0,0,0,1,0,0,0,0,0,0,0
2599.04,0,0,0,0,1,0,0,0,0,0,0,0
2597.93,0,0,0,0,1,0,0,0,0,0,0,0
2596.45,0,0,0,0,1,0,0,0,0,0,0,0
2592.05,0,0,0,0,1,0,0,0,0,0,0,0
2588.38,0,0,0,0,1,0,0,0,0,0,0,0
2584.02,0,0,0,0,1,0,0,0,0,0,0,0
2583.97,0,0,0,0,1,0,0,0,0,0,0,0
2578.03,0,0,0,0,1,0,0,0,0,0,0,0
2578,0,0,0,0,1,0,0,0,0,0,0,0
2577.78,0,0,0,0,1,0,0,0,0,0,0,0
2577.67,0,0,0,0,1,0,0,0,0,0,0,0
2576.4,0,0,0,0,1,0,0,0,0,0,0,0
2572.84,0,0,0,0,1,0,0,0,0,0,0,0
2571.78,0,0,0,0,1,0,0,0,0,0,0,0
2570.43,0,0,0,0,1,0,0,0,0,0,0,0
2567.83,0,0,0,0,1,0,0,0,0,0,0,0
2567.8,0,0,0,0,1,0,0,0,0,0,0,0
2567.47,0,0,0,0,1,0,0,0,0,0,0,0
2564.7,0,0,0,0,1,0,0,0,0,0,0,0
2563.23,0,0,0,0,1,0,0,0,0,0,0,0
2562.49,0,0,0,0,1,0,0,0,0,0,0,0
2560.68,0,0,0,0,1,0,0,0,0,0,0,0
2559.79,0,0,0,0,1,0,0,0,0,0,0,0
2559.25,0,0,0,0,1,0,0,0,0,0,0,0
2558.72,0,0,0,0,1,0,0,0,0,0,0,0
2556.08,0,0,0,0,1,0,0,0,0,0,0,0
2554.95,0,0,0,0,1,0,0,0,0,0,0,0
2552.13,0,0,0,0,1,0,0,0,0,0,0,0
2548.87,0,0,0,0,1,0,0,0,0,0,0,0
2547.28,0,0,0,0,1,0,0,0,0,0,0,0
2542.85,0,0,0,0,1,0,0,0,0,0,0,0
2537.33,0,0,0,0,1,0,0,0,0,0,0,0
2534.07,0,0,0,0,1,0,0,0,0,0,0,0
2530.05,0,0,0,0,1,0,0,0,0,0,0,0
2519.65,0,0,0,0,1,0,0,0,0,0,0,0
2516.17,0,0,0,0,1,0,0,0,0,0,0,0
2514.77,0,0,0,0,1,0,0,0,0,0,0,0
2511.68,0,0,0,0,1,0,0,0,0,0,0,0
2507.02,0,0,0,0,1,0,0,0,0,0,0,0
2505.88,0,0,0,0,1,0,0,0,0,0,0,0
2503.71,0,0,0,0,1,0,0,0,0,0,0,0
2503.38,0,0,0,0,1,0,0,0,0,0,0,0
2502.8,0,0,0,0,1,0,0,0,0,0,0,0
2499.43,0,0,0,0,1,0,0,0,0,0,0,0
2495.45,0,0,0,0,1,0,0,0,0,0,0,0
2494.37,0,0,0,0,1,0,0,0,0,0,0,0
2492.58,0,0,0,0,1,0,0,0,0,0,0,0
2491.03,0,0,0,0,1,0,0,0,0,0,0,0
2482.98,0,0,0,0,1,0,0,0,0,0,0,0
2477.12,0,0,0,0,1,0,0,0,0,0,0,0
2476.4,0,0,0,0,1,0,0,0,0,0,0,0
2475.54,0,0,0,0,1,0,0,0,0,0,0,0
2474.25,0,0,0,0,1,0,0,0,0,0,0,0
2471.17,0,0,0,0,1,0,0,0,0,0,0,0
2467.87,0,0,0,0,1,0,0,0,0,0,0,0
2467.68,0,0,0,0,1,0,0,0,0,0,0,0
2464.05,0,0,0,0,1,0,0,0,0,0,0,0
2463.97,0,0,0,0,1,0,0,0,0,0,0,0
2462.17,0,0,0,0,1,0,0,0,0,0,0,0
2459.88,0,0,0,0,1,0,0,0,0,0,0,0
2453.11,0,0,0,0,1,0,0,0,0,0,0,0
2450,0,0,0,0,1,0,0,0,0,0,0,0
2446.69,0,0,0,0,1,0,0,0,0,0,0,0
2444.63,0,0,0,0,1,0,0,0,0,0,0,0
2443.99,0,0,0,0,1,0,0,0,0,0,0,0
2440.02,0,0,0,0,1,0,0,0,0,0,0,0
2437.33,0,0,0,0,1,0,0,0,0,0,0,0
2434.57,0,0,0,0,1,0,0,0,0,0,0,0
2429.93,0,0,0,0,1,0,0,0,0,0,0,0
2428.92,0,0,0,0,1,0,0,0,0,0,0,0
2428.38,0,0,0,0,1,0,0,0,0,0,0,0
2426.6,0,0,0,0,1,0,0,0,0,0,0,0
2422.47,0,0,0,0,1,0,0,0,0,0,0,0
2420.33,0,0,0,0,1,0,0,0,0,0,0,0
2418.88,0,0,0,0,1,0,0,0,0,0,0,0
2417.68,0,0,0,0,1,0,0,0,0,0,0,0
2412.15,0,0,0,0,1,0,0,0,0,0,0,0
2411.75,0,0,0,0,1,0,0,0,0,0,0,0
2411.52,0,0,0,0,1,0,0,0,0,0,0,0
2411.3,0,0,0,0,1,0,0,0,0,0,0,0
2410.35,0,0,0,0,1,0,0,0,0,0,0,0
2409.8,0,0,0,0,1,0,0,0,0,0,0,0
2408.78,0,0,0,0,1,0,0,0,0,0,0,0
2406.27,0,0,0,0,1,0,0,0,0,0,0,0
2405.05,0,0,0,0,1,0,0,0,0,0,0,0
2400.65,0,0,0,0,1,0,0,0,0,0,0,0
2400.58,0,0,0,0,1,0,0,0,0,0,0,0
2400.38,0,0,0,0,1,0,0,0,0,0,0,0
2399.49,0,0,0,0,1,0,0,0,0,0,0,0
2398.92,0,0,0,0,1,0,0,0,0,0,0,0
2396.32,0,0,0,0,1,0,0,0,0,0,0,0
2391.72,0,0,0,0,1,0,0,0,0,0,0,0
2390.93,0,0,0,0,1,0,0,0,0,0,0,0
2388.95,0,0,0,0,1,0,0,0,0,0,0,0
2387.48,0,0,0,0,1,0,0,0,0,0,0,0
2386.35,0,0,0,0,1,0,0,0,0,0,0,0
2384.63,0,0,0,0,1,0,0,0,0,0,0,0
2384.58,0,0,0,0,1,0,0,0,0,0,0,0
2382.12,0,0,0,0,1,0,0,0,0,0,0,0
2380.15,0,0,0,0,1,0,0,0,0,0,0,0
2380,0,0,0,0,1,0,0,0,0,0,0,0
2379.87,0,0,0,0,1,0,0,0,0,0,0,0
2376.75,0,0,0,0,1,0,0,0,0,0,0,0
2371.52,0,0,0,0,1,0,0,0,0,0,0,0
2370.5,0,0,0,0,1,0,0,0,0,0,0,0
2370.15,0,0,0,0,1,0,0,0,0,0,0,0
2369.87,0,0,0,0,1,0,0,0,0,0,0,0
2368.73,0,0,0,0,1,0,0,0,0,0,0,0
2367.15,0,0,0,0,1,0,0,0,0,0,0,0
2359.47,0,0,0,0,1,0,0,0,0,0,0,0
2358.58,0,0,0,0,1,0,0,0,0,0,0,0
2358.56,0,0,0,0,1,0,0,0,0,0,0,0
2358.55,0,0,0,0,1,0,0,0,0,0,0,0
2356.37,0,0,0,0,1,0,0,0,0,0,0,0
2355.58,0,0,0,0,1,0,0,0,0,0,0,0
2355.55,0,0,0,0,1,0,0,0,0,0,0,0
2353.75,0,0,0,0,1,0,0,0,0,0,0,0
2349.75,0,0,0,0,1,0,0,0,0,0,0,0
2349.22,0,0,0,0,1,0,0,0,0,0,0,0
2348.58,0,0,0,0,1,0,0,0,0,0,0,0
2343.92,0,0,0,0,1,0,0,0,0,0,0,0
2338.72,0,0,0,0,1,0,0,0,0,0,0,0
2336.94,0,0,0,0,1,0,0,0,0,0,0,0
2336,0,0,0,0,1,0,0,0,0,0,0,0
2333.47,0,0,0,0,1,0,0,0,0,0,0,0
2331.9,0,0,0,0,1,0,0,0,0,0,0,0
2330,0,0,0,0,1,0,0,0,0,0,0,0
2329.31,0,0,0,0,1,0,0,0,0,0,0,0
2327.96,0,0,0,0,1,0,0,0,0,0,0,0
2326.68,0,0,0,0,1,0,0,0,0,0,0,0
2326.57,0,0,0,0,1,0,0,0,0,0,0,0
2323.92,0,0,0,0,1,0,0,0,0,0,0,0
2323.23,0,0,0,0,1,0,0,0,0,0,0,0
2322.19,0,0,0,0,1,0,0,0,0,0,0,0
2321.18,0,0,0,0,1,0,0,0,0,0,0,0
2320.65,0,0,0,0,1,0,0,0,0,0,0,0
2318.1,0,0,0,0,1,0,0,0,0,0,0,0
2317.97,0,0,0,0,1,0,0,0,0,0,0,0
2317.15,0,0,0,0,1,0,0,0,0,0,0,0
